title,authors,cover_url,description,tags,source_url
Columbia Alumni News,,http://books.google.com/books/content?id=LfL7FkdgD3gC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,,finance,https://play.google.com/store/books/details?id=LfL7FkdgD3gC&source=gbs_api
Thinking in C++,Bruce Eckel,http://books.google.com/books/content?id=dSzHnI1QGywC&printsec=frontcover&img=1&zoom=1&source=gbs_api,CD-ROM contains: basic introductory seminar on the C concepts necessary to understand C++ or Java.,Computers,http://books.google.com/books?id=dSzHnI1QGywC&dq=book&hl=&as_pt=BOOKS&source=gbs_api
Journal of the House of Delegates of the Commonwealth of Virginia,Virginia. General Assembly. House of Delegates,http://books.google.com/books/content?id=sDSRn2tocvMC&printsec=frontcover&img=1&zoom=1&source=gbs_api,,Virginia,http://books.google.com/books?id=sDSRn2tocvMC&dq=book&hl=&as_pt=BOOKS&source=gbs_api
The Education Gazette,Cape of Good Hope (South Africa). Education Department,http://books.google.com/books/content?id=h1OWQGgkP8IC&printsec=frontcover&img=1&zoom=1&source=gbs_api,,Education,http://books.google.com/books?id=h1OWQGgkP8IC&dq=book&hl=&as_pt=BOOKS&source=gbs_api
Parliamentary Debates,Great Britain. Parliament. House of Commons,http://books.google.com/books/content?id=8_ZGu9_7rBQC&printsec=frontcover&img=1&zoom=1&source=gbs_api,,Great Britain,http://books.google.com/books?id=8_ZGu9_7rBQC&dq=book&hl=&as_pt=BOOKS&source=gbs_api
Arthur's Lady's Home Magazine,,http://books.google.com/books/content?id=Y8jSssXz0w0C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,,Women,https://play.google.com/store/books/details?id=Y8jSssXz0w0C&source=gbs_api
Charlotte Medical Journal,,http://books.google.com/books/content?id=XKpjr2cWLnYC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,,Medicine,https://play.google.com/store/books/details?id=XKpjr2cWLnYC&source=gbs_api
"CISSP Bundle, Fourth Edition",Shon Harris; Fernando Maymi; Jonathan Ham,http://books.google.com/books/content?id=4SaDDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"Prepare for the 2018 CISSP exam with this up-to-date, money-saving study packageDesigned as a complete self-study program, this collection offers a wide variety of proven, exam-focused resources to use in preparation for the current edition of the CISSP exam. The set bundles the eighth edition of Shon Harris’ bestselling CISSP All-in-One Exam Guide and CISSP Practice Exams, Fifth Edition—. You will gain access to a variety of comprehensive resources to get ready for the challenging exam. CISSP Bundle, Fourthe Edition fully covers all eight exam domains and offers real-world insights from the authors’ professional experiences. More than 2500 accurate practice exam questions are provided, along with in-depth explanations of both the correct and incorrect answers. The included Total Tester test engine provides full-length, timed simulated exams or customized quizzes that target selected chapters or exam objectives.•Presents 100% coverage of the 2018 CISSP Exam•Includes special discount to Shon Harris Brand CISSP video training from Human Element Security•Written by leading experts in IT security certification and training",Computers,https://play.google.com/store/books/details?id=4SaDDwAAQBAJ&source=gbs_api
Amazing Stories,,http://books.google.com/books/content?id=Ygl3KWDDqKQC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,,Science fiction,https://play.google.com/store/books/details?id=Ygl3KWDDqKQC&source=gbs_api
Statistical Bulletin,,http://books.google.com/books/content?id=atzU_KmS4bYC&printsec=frontcover&img=1&zoom=1&source=gbs_api,,Nigeria,http://books.google.com/books?id=atzU_KmS4bYC&dq=book&hl=&as_pt=BOOKS&source=gbs_api
Shadow in Tiger Country,Louise Arthur; Tim Arthur,http://books.google.com/books/content?id=7rIgDAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,The extraordinary diary and memoir of just under one year in a woman’s life.,Biography & Autobiography,https://play.google.com/store/books/details?id=7rIgDAAAQBAJ&source=gbs_api
The Bucknell Review,,http://books.google.com/books/content?id=Sv2-qCxohS8C&printsec=frontcover&img=1&zoom=1&source=gbs_api,,finance,http://books.google.com/books?id=Sv2-qCxohS8C&dq=book&hl=&as_pt=BOOKS&source=gbs_api
Journal of the Oriental Institute,"Oriental Institute (Vadodara, India)",http://books.google.com/books/content?id=wtrm9D-TK6MC&printsec=frontcover&img=1&zoom=1&source=gbs_api,,Asia,http://books.google.com/books?id=wtrm9D-TK6MC&dq=book&hl=&as_pt=BOOKS&source=gbs_api
"The Mom Inventors Handbook, How to Turn Your Great Idea into the Next Big Thing, Revised and Expanded 2nd Ed",Tamara Monosoff,http://books.google.com/books/content?id=PW67AwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"This enhanced e-Book features 7 tutorials that provide tips and tricks in addition to the 75 videos from entrepreneurs who share their expertise to help you succeed with your business. Written specifically for people seeking to turn their ideas into marketable products, this new edition of The Mom Inventors Handbook takes you step by step through the process, covering the latest, most innovative ways to create, fund, manufacture, and successfully sell products on a wide scale. ""I am asked every day for advice about how to get products onto the shelves of our clubs. The answer to this question is in your hands."" -- from the foreword by Julie Martin-Allen, Senior Director of Showcase Events, Sam's Club ""We could not have done this without The Mom Inventors Handbook . . . our 'business bible.'"" -- Lisa Hoskins-Holmes and Karen Wildman, creators of The Bheestie Bag ""I'm not a mom--or a woman--but I used The Mom Inventors Handbook to bring my [product] to market, and it won Best New Product awards at our first two national tradeshows!"" -- Tony Deitch, creator of Sasquatch! Pet Beds ""I used The Mom Inventors Handbook at the beginning of my journey. My product was selected as one of the winning products on the TV Show Shark Tank and is now distributed internationally."" -- Tiffany Krumins, creator of Ava the Elephant ""When I had the idea for Carry-Her Doll Carriers and found The Mom Inventors Handbook, I couldn't put it down! I’m on track to sell 85,000 units this year with my new placements in Toys ""R"" Us, FAO Schwartz, and Walmart!"" -- Roberta Wagner, creator of Carry-Her Doll Carriers",Business & Economics,https://play.google.com/store/books/details?id=PW67AwAAQBAJ&source=gbs_api
Journals of the Legislature of the State of California,California. Legislature,http://books.google.com/books/content?id=0ybaehLfX6oC&printsec=frontcover&img=1&zoom=1&source=gbs_api,,California,http://books.google.com/books?id=0ybaehLfX6oC&dq=book&hl=&as_pt=BOOKS&source=gbs_api
Applied Machine Learning,M. Gopal,http://books.google.com/books/content?id=AQaSDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"Cutting-edge machine learning principles, practices, and applications This comprehensive textbook explores the theoretical under¬pinnings of learning and equips readers with the knowledge needed to apply powerful machine learning techniques to solve challenging real-world problems. Applied Machine Learning shows, step by step, how to conceptualize problems, accurately represent data, select and tune algorithms, interpret and analyze results, and make informed strategic decisions. Presented in a non-rigorous mathematical style, the book covers a broad array of machine learning topics with special emphasis on methods that have been profitably employed. Coverage includes: Supervised learning Statistical learning Learning with support vector machines (SVM) Learning with neural networks (NN) Fuzzy inference systems Data clustering Data transformations Decision tree learning Business intelligence Data mining And much more",Technology & Engineering,https://play.google.com/store/books/details?id=AQaSDwAAQBAJ&source=gbs_api
Publications Catalog,World Bank,http://books.google.com/books/content?id=fLrkiaHMgF0C&printsec=frontcover&img=1&zoom=1&source=gbs_api,,Developing countries,http://books.google.com/books?id=fLrkiaHMgF0C&dq=book&hl=&as_pt=BOOKS&source=gbs_api
The Unseen Hand,A. Ralph Epperson,http://books.google.com/books/content?id=Ez8ZSfusL2cC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"""It is the contention of the author that the major events of the past, the wars, the depressions and the revolutions, have been planned years in advance by an international conspiracy.""--Page 4 of cover",History,http://books.google.com/books?id=Ez8ZSfusL2cC&dq=book&hl=&as_pt=BOOKS&source=gbs_api
Teacher's Key,James Williams Baker,http://books.google.com/books/content?id=UhrIfP9PXFIC&printsec=frontcover&img=1&zoom=1&source=gbs_api,,Bookkeeping,http://books.google.com/books?id=UhrIfP9PXFIC&dq=book&hl=&as_pt=BOOKS&source=gbs_api
Culture & Agriculture,,http://books.google.com/books/content?id=TSmH_TNc5O0C&printsec=frontcover&img=1&zoom=1&source=gbs_api,,Agricultural development projects,http://books.google.com/books?id=TSmH_TNc5O0C&dq=book&hl=&as_pt=BOOKS&source=gbs_api
Report of the Annual Co-operative Congress,,http://books.google.com/books/content?id=kMfhqBUXensC&printsec=frontcover&img=1&zoom=1&source=gbs_api,,Co-operative Congress,http://books.google.com/books?id=kMfhqBUXensC&dq=book&hl=&as_pt=BOOKS&source=gbs_api
Journal of Industry,,http://books.google.com/books/content?id=bgGRsyUGKAkC&printsec=frontcover&img=1&zoom=1&source=gbs_api,,Industries,http://books.google.com/books?id=bgGRsyUGKAkC&dq=book&hl=&as_pt=BOOKS&source=gbs_api
Introduction to Research,Walther G. Prausnitz; Armour H. Nelson,http://books.google.com/books/content?id=d0TGHlY8bmgC&printsec=frontcover&img=1&zoom=1&source=gbs_api,,Report writing,http://books.google.com/books?id=d0TGHlY8bmgC&dq=book&hl=&as_pt=BOOKS&source=gbs_api
5 Steps to a 5: AP Physics 1 Algebra-Based 2019,Greg Jacobs,http://books.google.com/books/content?id=UsllDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"A PERFECT PLAN FOR THE PERFECT SCORE Score-Raising Features Include:•3 full-length practice exams, 2 in the book + 1 on Cross-Platform•Hundreds of practice exercises with thorough answer explanations•Comprehensive overview of the AP Physics 1 exam format •Authentic practice questions that reflect both multiple choice and free-response question types, just like the ones you will see on test day•Addresses all topics at the depth and in the style required for the AP Physics 1 exam•Proven strategies specific to each section of the test BONUS Cross-Platform Prep Course for extra practice exams with personalized study plans, interactive tests, powerful analytics and progress charts, flashcards, games, and more! (see inside front and back covers for details)The 5-Step Plan:Step 1: Set up your study plan with three model schedulesStep 2: Determine your readiness with an AP-style Diagnostic ExamStep 3: Develop the strategies that will give you the edge on test dayStep 4: Review the terms and concepts you need to achieve your highest scoreStep 5: Build your confidence with full-length practice exams",Study Aids,https://play.google.com/store/books/details?id=UsllDwAAQBAJ&source=gbs_api
"5 Steps to a 5 AP Physics 1: Algebra-Based, 2018 Edition",Greg Jacobs,http://books.google.com/books/content?id=s3wzDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"Get ready to ace your AP Physics 1 Exam with this easy-to-follow, multi-platform study guide 5 Steps to a 5: AP Physics 1 introduces an easy to follow, effective 5-step study plan to help you build the skills, knowledge, and test-taking confidence you need to achieve a high score on the exam. This wildly popular test prep guide matches the latest course syllabus and the latest exam. You'll get online help, three full-length practice tests (two in the book and one online), detailed answers to each question, study tips, information on how the exam is scores, and much more. Because this guide is accessible in print and digital formats, you can study online, via your mobile device, straight from the book, or any combination of the three. 5 Steps to a 5: AP Physics 1 2018 features: • New: Access to the entire Cross-Platform Prep Course in Physics 1 • 3 Practice Exams (2 in the book + 1 online) • An interactive, customizable AP Planner app to help you organize your time • Powerful analytics you can use to assess your test readiness • Flashcards, games, and more",Study Aids,https://play.google.com/store/books/details?id=s3wzDwAAQBAJ&source=gbs_api
"Minutes and Votes and Proceedings of the Parliament, with Papers Presented to Both Houses",Western Australia. Parliament,http://books.google.com/books/content?id=jKTHcGdM6IYC&printsec=frontcover&img=1&zoom=1&source=gbs_api,,Western Australia,http://books.google.com/books?id=jKTHcGdM6IYC&dq=book&hl=&as_pt=BOOKS&source=gbs_api
The OECD Observer,,http://books.google.com/books/content?id=XI5wBWMi49QC&printsec=frontcover&img=1&zoom=1&source=gbs_api,,Europe,http://books.google.com/books?id=XI5wBWMi49QC&dq=book&hl=&as_pt=BOOKS&source=gbs_api
"Pharmacy Management: Essentials for All Practice Settings, Fifth Edition",David P. Zgarrick; Shane P. Desselle; Greg Alston; Leticia R. Moczygemba,http://books.google.com/books/content?id=jpWwDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"The leading text on pharmacy management – updated to reflect the latest trends and topics Pharmacy Management is a comprehensive textbook that combines evidence-based management theories with practical solutions for the issues pharmacists face every day. Enhanced by input from educators, researchers, students and practicing pharmacists, the Fifth Edition addresses the evolving role of pharmacists in today’s every-changing environment. Covering the gamut of activities performed by pharmacists, from managing money to managing personal stress, this complete guide explains vital pharmacy management topics across all practice settings. Featuring material derived from the best and most contemporary primary literature, Pharmacy Management focuses on learning the skills essential to the everyday practice of pharmacy. Long after readers have completed pharmacy school, they will turn to Pharmacy Management for answers to make their practice more professionally rewarding and personally enriching. •Market: Physical Therapy students (30,000/USA) •New Chapters: Ethical Decision Making and Problem Solving, Negotiating, and Pharmacy Technicians •Covers all aspects of pharmacy management, from managing money and people to personal stress",Medical,https://play.google.com/store/books/details?id=jpWwDwAAQBAJ&source=gbs_api
Utah Historical Quarterly,,http://books.google.com/books/content?id=4o-Sk0eKAS0C&printsec=frontcover&img=1&zoom=1&source=gbs_api,"List of charter members of the society: v. 1, p. 98-99.",Utah,http://books.google.com/books?id=4o-Sk0eKAS0C&dq=book&hl=&as_pt=BOOKS&source=gbs_api
The Moral of the Story,John H. Lockwood,http://books.google.com/books/content?id=EDJKWfmzjXgC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"The problem this project attempts to solve is to develop a workable moral education in light of the clash between religious forms of moral education and U.S. Supreme Court decisions concerning them. The concept of story and storytelling has been suggested as a unifying focus for disparate prescriptions for moral education. Several recent approaches to moral storytelling have been proposed. The approaches of William Bennett, Nel Noddings, and Herbert Kohl are among those which have attempted to combine moral education and storytelling within the last decade. Bennett is identified with other theorists whose primary concern is the moral content of a story. Noddings is identified as a process theorist, whose primary concern is the process of moral storytelling, not the content. Kohl is identified as a reflection theorist, whose approach challenges tradition in the hope of creating a more moral society. Each one of these three approaches attempts to provide a comprehensive program of moral education, but they fall short of that goal. The purpose of this project, then, is to construct a storytelling moral education program that improves upon earlier approaches. Using the three levels of moral thinking posited by R.M. Hare, a three-level approach to moral storytelling is proposed. The intuitive, critical, and meta-ethical levels of moral thinking that Hare refers to are used to frame a new, three-level, approach to moral storytelling. The three-level approach combines content, process, and reflection into a unified prescription for moral education. Thus, a more comprehensive plan for moral education through storytelling is developed, one that respects traditional forms of moral education while remaining within the parameters set by the U.S. Supreme Court.",Education,https://play.google.com/store/books/details?id=EDJKWfmzjXgC&source=gbs_api
Stray Dog Story,Robert Chesley,http://books.google.com/books/content?id=easnAzYxS-wC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"John wishes his dog Buddy were a human being because Buddy would make the perfect lover. Poof! The Fairy Dog Mother makes it so. But when John gets murdered, Buddy the dog is left to fend for himself as a gay man in New York City.--David Goldyn, director of Los Angeles premiere, on amazon.com.",Drama,http://books.google.com/books?id=easnAzYxS-wC&dq=story&hl=&as_pt=BOOKS&source=gbs_api
Story Dash,David Hutchens,http://books.google.com/books/content?id=q_0xEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"Storytelling is humanity’s oldest way of connecting to others. But for businesses and managers, it can also be a powerful tool to help organizations grow and thrive. A leader’s role is to create engagement and belief so that people will act. And there’s no more powerful way to grab attention, be remembered, and engage action than by telling stories—about who you are, what you do, and why you do it. Today, “storytelling” is a hot topic in organizations… but most leaders still struggle to act upon it. How do we find and tell our stories quickly, in an environment of urgency where we can hardly pause to catch our breath? For more than a decade Hutchens has tested his method of rapid and strategic story development with innovation teams in Silicon Valley, across global Fortune 100 leadership teams, and more. Hutchens has honed a unique process that is active, potent, and strategically focused . . . and also a lot of fun. In Story Dash, Hutchens shares a repeatable process to find, develop, and deploy your “narrative assets”—that is, your urgent core stories that hold value. Even better, he will help you do it FAST; often in less than a day. Story Dash will help you to: Access your natural capacity for storytelling Find your stories—and figure out which ones to tell Build your narrative so it lands with unforgettable impact Find your own voice of authentic leadership Bring more of who you are to your teams and your markets Fully illustrated and written in a clear, sharp voice, Story Dash shares the fastest way to find lots of stories that will create action around the work you care about most.",Business & Economics,https://play.google.com/store/books/details?id=q_0xEAAAQBAJ&source=gbs_api
True Story,Ty Montague,http://books.google.com/books/content?id=wbMTAAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"Is your company a storyteller--or a storydoer? The old way to market a business was storytelling. But in today's world, simply communicating your brand's story in the hope that customers will listen is no longer enough. Instead, your authentic brand must be evident in every action the organization undertakes. Today's most successful businesses are storydoers. These companies create products and services that, from the very beginning, are manifestations of an authentic and meaningful story--one told primarily through action, not advertising. In True Story, creative executive Ty Montague argues that any business, regardless of size or industry, can embrace the principles of storydoing. Indeed, our best-run companies--from small start-ups to global conglomerates--organize around a coherent narrative that is then broadcast through every action they take (from product design to customer service to marketing). Montague shows why storydoing firms are nimble, more adaptive to change, and more efficiently run businesses. Montague is a founder of the growth consultancy co:collective and the former president and CCO of J. Walter Thompson, the largest advertising agency in North America. He brings his depth of creative business experience to the book and provides a clear framework and proven process for bringing you and your customers together in the creation of your brand story. Montague introduces five critical elements--what he calls the ""the four truths and the action map""--that are the foundation of storydoing: * the participants (your customers, partners, and employees) * the protagonist (your company today) * the stage (the world around your business) * the quest (your driving ambition and contribution to the world) * your action map (the actions that will make your story real for participants) The book is filled with examples of how forward-thinking organizations--including Red Bull, Shaklee, Grind, TOMS Shoes, and News Corporation--are effectively using storydoing to transform their organizations and drive extraordinary results.",Business & Economics,http://books.google.com/books?id=wbMTAAAAQBAJ&dq=story&hl=&as_pt=BOOKS&source=gbs_api
Story Crafting,Arlene F. Marks,http://books.google.com/books/content?id=4C8EAwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"The “Literacy: Made for All” series is a classroom-ready, teacher-friendly resource for English and Writing teachers of Grades 9 through 12. Organized buffet style, it is designed to complement an existing English curriculum by providing a tested repertoire of strategies for teaching both writing skills and literary analysis techniques. STORY CRAFTING focuses on the creation, editing, polishing and sharing of short stories and longer prose fiction. Benefits and Features: tested and proven effective at all learning levels, from Remedial to Pre-APprovides complete lesson plans including reproducible materials can be implemented as is or modified to suit individual teaching styles and/or students' needseach skill, assignment or project begins by 'teaching the teacher', giving an inexperienced teacher the knowledge to provide effective instruction first time out and the confidence to modify and experiment thereaftercomprised of reading, writing, literary criticism and language-study componentsmoves students from writing effectively to reading analytically (approaching text from the authoring point of view), a proven, highly successful methodologycan turn any English course into a Literacy courseextremely versatile and cost-effectivecan deepen an existing English course or complete the framework for a new one STORY CRAFTING focuses on the creation, production and sharing of a variety of nonfiction writing projects. The textcan be implemented in the classroom alone or in tandem with the two other titles in the Literacy: Made for All Series —WORDSMITHING and ENJOYING LITERATURE. Also of interest for classroom teachers is the Let Them Write Series CHARACTER DEVELOPMENT: Classroom Ready Materials for Teaching Writing and Literary Analysis Skills in Grades 4 to 8 PLOT BUILDING: Classroom Ready Materials for Teaching Writing and Literary Analysis Skills in Grades 4 to 8 SETTING AND DESCRIPTION: Classroom Ready Materials for Teaching Writing and Literary Analysis Skills in Grades 4 to 8",Education,https://play.google.com/store/books/details?id=4C8EAwAAQBAJ&source=gbs_api
Indian Short Story: A Critical Evaluation,Dipak Giri,http://books.google.com/books/content?id=kxMnEQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"As a literary genre, Indian short story, next to poetry, is the most popular and accepted form of literature for its variety and nuance of Indian experience. Evolving over time, it has gained wide currency among people. Even after its recourse to traditional rules of the craft, Indian short story amazingly presents itself an original and distinctive form of art. Developed out of contemporary native literature and western storytelling technique, Indian short story presents an amalgation of two different literary traditions which has become unique and distinctive in course of time and long been catering to the taste of people. Ever since its origin, it has already witnessed a plethora of Indian writers who have made significant contributions to this genre by encapsulating the essence of Indian life and culture. They are Rabindranath Tagore, Munshi Premchand, R.K. Narayan, Mulk Raj Anand, Ismat Chughtai, Ruskin Bond, Khushwant Singh, Saadat Hasan Manto, Ashapurna Devi, Jhumpa Lahiri, Anita Desai, Kiran Desai, Chitra Banerjee Divakaruni, Anita Nair, Qurratulain Hyder, Namita Gokhale, Madhulika Liddle , just to name a few. At present Indian short story has taken a wider form, much more than earlier and almost every writer has started trying her or his hand at this field that it is too difficult for one to sum up the whole in one singular work. Still this present book is an endeavour to compile the works of major Indian short story writers in a short but comprehensive way in order to supply the best possible materials to readers, writers, academics, scholars and students who wish to do further studies in this field. There are twenty six chapters in this book which together presents a rich tapestry of this genre. Hopefully this book will march towards many unexplored realms exciting many curious minds, restarting many fruitful dialogues and invigorating many fresh and new ideas among academics, scholars and students alike.",finance,https://play.google.com/store/books/details?id=kxMnEQAAQBAJ&source=gbs_api
Story or Die,Lisa Cron,http://books.google.com/books/content?id=CsLpDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"“A practical, heartfelt manual for anyone who needs to change minds and actions. Lisa Cron shares the art of practical empathy with leaders who care enough to make a difference.”—Seth Godin, author of The Practice A step-by-step guide to using the brain’s hardwired need for story to achieve any goal, from the author of Wired for Story Whether you’re pitching a product, saving the planet, or convincing your kids not to text and drive, story isn’t just one way to persuade. It’s the way. It’s built into the architecture of the brain, and has been since early humans gathered around the camp fire, trying to figure out how to outsmart the lion next door. In Story or Die, story coach Lisa Cron sets out to decode the power of story, first by examining how the brain processes information, translates it into narrative, and then guards it as if your life depends on it. Armed with that insight, she focuses on how to find your real target audience and then pinpoint their hidden resistance. Finally, she takes you, step-by-step, through the creation of your own story, one that allows your audience to overcome their resistance and take up your call to action, not because you told them to, but because they want to. That is the power of story. Use it wisely.",Language Arts & Disciplines,https://play.google.com/store/books/details?id=CsLpDwAAQBAJ&source=gbs_api
The Heart of the Story,Randy Frazee,http://books.google.com/books/content?id=LjdvDAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"The Heart of the Story will help you see God’s Word in a new and inspiring light. In the Bible’s seemingly disconnected stories, you’ll discover one grand, unfolding epic – God’s story from Genesis onward – and your own life-story contained within it. “To understand the Bible,” says author and pastor Randy Frazee, “you need bifocal lenses, because two perspectives are involved. The Lower Story, our story, is actually many stories of men and women interacting with God in the daily course of life. The Upper Story is God’s story, the tale of his great, overarching purpose that fits all the individual stories together like panels in one unified mural.” In this new edition, Randy dives deeper in the Upper and Lower stories and shows how both perspectives will open your eyes to the richness and relevance of the Bible. Illuminating God’s master-plan from Genesis to our daily lives, The Heart of the Story will encourage you to experience the joy that comes from aligning your stories with God’s.",Religion,https://play.google.com/store/books/details?id=LjdvDAAAQBAJ&source=gbs_api
The Story Tellers' Magazine,,http://books.google.com/books/content?id=qRknE6YVk60C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,,Storytelling,https://play.google.com/store/books/details?id=qRknE6YVk60C&source=gbs_api
God Is Not a Story,Francesca Aran Murphy,http://books.google.com/books/content?id=f0ETDAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"This is a challenging critique of narrative theologies. Murphy argues that the widespread notion that the role of the theologian it so 'tell God's story' has not helped theology to advance the reality of its doctrines. She offers her own alternative approach, making use of cinema and film theory.",Language Arts & Disciplines,http://books.google.com/books?id=f0ETDAAAQBAJ&dq=story&hl=&as_pt=BOOKS&source=gbs_api
Story Drama in the Special Needs Classroom,Jessica Perich Carleton,http://books.google.com/books/content?id=RGv13vW8mBgC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Dramatic play can be applied to a diverse range of school subjects and recreational settings and is guaranteed to enhance students' learning and encourage artistic expression. Lesson plans take teachers through every aspect of running fun and engaging story dramas with ways to adapt them to meet the needs of the inclusive or special needs group.,Education,https://play.google.com/store/books/details?id=RGv13vW8mBgC&source=gbs_api
Your Story Matters,Leslie Leyland Fields,http://books.google.com/books/content?id=OizRDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"Your Story Matters presents a dynamic and spiritually formative process for understanding and redeeming the past in order to live well in the present and into the future. Leslie Leyland Fields has used and taught this practical and inspiring writing process for decades, helping people from all walks of life to access memory and sift through the truth of their stories. This is not just a book for writers. Each one of us has a story, and understanding God's work in our stories is a vital part of our faith. Through the spiritual practice of writing, we can ""remember"" his acts among us, ""declare his glory among the nations,"" and pass on to others what we have witnessed of God in this life: the mysterious, the tragic, the miraculous, the ordinary. With a companion video curriculum from RightNow Media, this is a ""why not"" book as opposed to a ""how to"" book. Leslie asks each of us an important question: ""Why not learn to tell your story, in the context of the grander story of God?""",Language Arts & Disciplines,http://books.google.com/books?id=OizRDwAAQBAJ&dq=story&hl=&as_pt=BOOKS&source=gbs_api
The Story of Switzerland,Lina Hug; Richard Stead,http://books.google.com/books/content?id=FLcgAgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"For many reasons, some of which are obvious to the least thoughtful, the history of Switzerland is peculiarly interesting, and not least so to English-speaking peoples. In the first place, the ""playground of Europe"" is every year visited by large numbers of British and Americans, some of whom indeed are familiar with almost every corner of it. Then to the Anglo-Saxon race the grand spectacle of a handful of freemen nobly struggling for and maintaining their freedom, often amidst enormous difficulties, and against appalling odds, cannot but be heart-stirring. To the citizen of the great American republic a study of the constitution of the little European republic should bring both interest and profita constitution resembling in many points that of his own country, and yet in many other respects so different. And few readers, of whatever nationality, can, we think, peruse this story without a feeling of admiration for a gallant people who have fought against oppression as the Swiss have fought, who have loved freedom as they have loved it, and who have performed the well-nigh incredible feats of arms the Switzers have performed. And as Sir Francis O. Adams and Mr. Cunningham well point out in their recently published work on the Swiss Confederation, as a study in constitutional history, the value of the story of the development of the Confederation can hardly be over-estimated. Few of the existing accounts of Swiss history which have appeared in the English language go back beyond the year 1291 a.d., the date of the earliest Swiss League, and of course Switzerland as a nation cannot boast of an earlier origin. But surely some account should be given of the previous history of the men who founded the League. For a country which has been occupied at different periods by lakemen, Helvetians, and Romans; where Alamanni, Burgundians, and Franks have played their parts; where Charlemagne lived and ruled, and Charles the Bold fought; where the great families of the Zaerings, the Kyburgs, and Savoy struggled; and whence the now mighty house of Habsburg sprang (and domineered)all this before 1291a country with such a story to tell of its earlier times, we say, should not have that story left untold. Accordingly in this volume the history of the period before the formation of the Confederation has been dwelt upon at some little length. It should be mentioned, too, that in view of the very general interest caused by the remarkable discovery of the Swiss lake settlements a few years ago, a chapter has been devoted to the subject.",Fiction,https://play.google.com/store/books/details?id=FLcgAgAAQBAJ&source=gbs_api
The Monkey Mountain Story,Michael White; Bai Jin De,http://books.google.com/books/content?id=xscesfLiJtcC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"The Monkey Mountain story started in a Canadian community health centre. Over the past ten years, it has been successfully introduced to groups attending community health and recreational centres and in retirement and nursing homes, in diabetes and mental health programs. Presentations at community college activation programs and at the Toronto Island Sunshine Center have resulted in Monkey Mountain being taken to many settings. Tai Chi has real benefits for all ages. But especially as we get older, we can lose the ability or confidence to walk and move about easily. That loss can be the result of physical changes or simply because of life factors such as our constant use of chairs. Consider falls alone. A serious fall in later years is often the event that may begin the loss of independence. People who do Tai Chi and who do the Monkey Mountain story really do improve their balance and flexibility. They avoid or recover from near falls. They gain or regain their ability to walk or to enjoy exercise. Being able to move about with confidence encourages socialization and adds to the enjoyment of living. There is also a calming logic to the moves of Tai Chi and the Monkey Mountain story. The concentration required to learn and play the moves clears the mind and relieves stress. Tai Chi is sometimes called a moving meditation.",Philosophy,https://play.google.com/store/books/details?id=xscesfLiJtcC&source=gbs_api
